ID,Storm_Name,Year,Tier,Overall,Category,peak_wind_mph,min_pressure_mb,ace,duration_hours,fatalities,wind_pct,pres_pct,ace_pct,dur_pct,fat_pct,image_url
AL131998,MITCH,1998,Elite,99,5,178,905,41.04,432,11374,99.6,99.5,98.1,99,99.6,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/Mitch_1998-10-26_1845Z.png/1280px-Mitch_1998-10-26_1845Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL152017,MARIA,2017,Elite,99,5,173,908,46.14,372,3059,99.4,99.4,98.8,97.9,97,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/Maria_2017-09-20_0238Z_%28Coastline-less%29.jpg/1280px-Maria_2017-09-20_0238Z_%28Coastline-less%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041928,Okeechobee Hurricane,1928,Elite,98,5,161,929,49.13,336,4112,98,97.1,99,96,98.7,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/1928_Okeechobee_hurricane_weather_map%2C_September_13%2C_1928_%283208887%29.jpg/1280px-1928_Okeechobee_hurricane_weather_map%2C_September_13%2C_1928_%283208887%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL091966,INEZ,1966,Elite,98,5,161,927,51.48,390,1269,98.4,97.8,99.2,98.4,94.8,https://upload.wikimedia.org/wikipedia/commons/d/d3/InezInGulf1966.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL091979,DAVID,1979,Elite,98,5,173,924,45.52,306,2078,99.2,98.3,98.7,93.8,96.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/David_1979-08-31_1500Z.png/1280px-David_1979-08-31_1500Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL061938,New England Hurricane,1938,Elite,97,5,161,940,41.8,300,682,98.3,93.6,98.2,93.2,92.6,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/1938_New_England_hurricane_weather_map_9-21-1938_%28high_quality%29_%286609126%29.jpg/1280px-1938_New_England_hurricane_weather_map_9-21-1938_%28high_quality%29_%286609126%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL142016,MATTHEW,2016,Elite,97,5,167,934,52.03,276,731,99,96,99.3,90.7,93.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/Matthew_2016-10-01_0225Z.png/1280px-Matthew_2016-10-01_0225Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL052019,DORIAN,2019,Elite,97,5,184,910,51.88,366,161,99.8,99.3,99.2,97.6,82.3,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/Dorian_2019-09-01_1641Z.jpg/1280px-Dorian_2019-09-01_1641Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041980,ALLEN,1980,Elite,96,5,190,899,52.28,222,281,100,99.7,99.3,82.4,87.9,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Allen_1980-08-07_1600Z.png/1280px-Allen_1980-08-07_1600Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL092004,IVAN,2004,Elite,96,5,167,910,71.12,492,124,98.7,99.4,99.9,99.4,80.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/Ivan_2004-09-13_1900Z_%28alternate%29.jpg/1280px-Ivan_2004-09-13_1900Z_%28alternate%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL112017,IRMA,2017,Elite,96,5,178,914,64.89,306,134,99.5,99.1,99.8,94,81.4,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/Irma_2017-09-06_1230Z.jpg/1280px-Irma_2017-09-06_1230Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL091969,CAMILLE,1969,Elite,95,5,173,900,23.32,198,348,99.4,99.6,89.7,77.6,88.7,https://upload.wikimedia.org/wikipedia/commons/d/df/Hurricane_Camille_16_aug_1969_2340Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL111989,HUGO,1989,Elite,95,5,161,918,44.41,330,174,98.2,98.8,98.5,95.6,84,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/Hugo_1989-09-15_2000Z.png/1280px-Hugo_1989-09-15_2000Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL132003,ISABEL,2003,Elite,95,5,167,915,63.4,318,69,98.7,99,99.7,95,73.2,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/Isabel_2003-09-11_1720Z.jpg/1280px-Isabel_2003-09-11_1720Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL122005,KATRINA,2005,Elite,94,5,173,902,20.01,138,1392,99,99.6,86.4,62.2,95.2,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/Katrina_2005-08-28_1700Z.jpg/1280px-Katrina_2005-08-28_1700Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL252005,WILMA,2005,Elite,94,5,184,882,39.99,228,52,99.9,100,97.6,83.6,70.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/24/Wilma_2005-10-19_1345Z.png/1280px-Wilma_2005-10-19_1345Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL022024,BERYL,2024,Elite,94,5,167,932,34.46,234,73,98.8,96.3,96.3,85.1,74,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/Beryl_2024-07-02_1230Z.jpg/1280px-Beryl_2024-07-02_1230Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041992,ANDREW,1992,Elite,93,5,173,922,28.45,228,65,99.3,98.4,93.8,83.8,72.7,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e2/Andrew_1992-08-23_1801Z.png/1280px-Andrew_1992-08-23_1801Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL182005,RITA,2005,Elite,93,5,178,895,25.15,150,120,99.7,99.7,91,66.9,79.7,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6d/Rita_2005-09-21_1915Z.jpg/1280px-Rita_2005-09-21_1915Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL142018,MICHAEL,2018,Elite,93,5,161,919,17.83,198,105,98,98.6,84.4,78.7,77.9,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a4/Michael_2018-10-10_1732Z.jpg/1280px-Michael_2018-10-10_1732Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL041932,1932 Bahamas Hurricane,1932,Elite,92,5,161,,48.47,414,,98.1,99,98.9,98.7,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/54/1932_Atlantic_hurricane_season_summary_map_new.png/1280px-1932_Atlantic_hurricane_season_summary_map_new.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL141932,1932 Cuba Hurricane,1932,Elite,92,5,173,918,60.76,336,,99.1,98.7,99.7,96,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/54/1932_Atlantic_hurricane_season_summary_map_new.png/1280px-1932_Atlantic_hurricane_season_summary_map_new.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL092022,IAN,2022,Elite,92,5,161,937,17.72,168,161,97.8,95.4,84,71.7,82.7,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Ian_2022-09-28_1256Z.jpg/1280px-Ian_2022-09-28_1256Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL052025,ERIN,2025,Elite,92,5,161,913,39.82,396,,97.9,99.2,97.5,98.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/63/Erin_2025-08-16_1830Z.jpg/1280px-Erin_2025-08-16_1830Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL131967,BEULAH,1967,Elite,91,5,161,923,40.14,342,,98.5,98.3,97.6,96.5,50,https://upload.wikimedia.org/wikipedia/commons/9/98/Hurricane_Beulah.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL132023,LEE,2023,Elite,91,5,167,926,39.36,312,,98.8,97.8,97.4,94.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/db/Lee_2023-09-08_0520Z_%28Nighttime_Visible_Imagery%29.jpg/1280px-Lee_2023-09-08_0520Z_%28Nighttime_Visible_Imagery%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL132025,MELISSA,2025,Elite,91,5,190,892,36.24,264,,99.9,99.8,96.6,88.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/Melissa_2025-10-28_1200z.png/1280px-Melissa_2025-10-28_1200z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL031899,San Ciriaco Hurricane,1899,Elite,90,4,150,930,78.02,786,3433,96,96.9,100,100,98.3,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/1899_San_Ciriaco_hurricane_track.png/1280px-1899_San_Ciriaco_hurricane_track.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL011900,Galveston Hurricane,1900,Elite,90,4,144,936,27.62,474,8000,95,95.4,93.2,99.3,99.1,https://upload.wikimedia.org/wikipedia/commons/a/a6/Galveston_hurricane_track%2C_Sept_1-10%2C_1900.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL031935,Labor Day Hurricane,1935,Elite,90,5,184,892,30.79,252,,99.8,99.9,95,87.8,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/51/Labor_Day_hurricane_weather_analysis_%28Enlarged%29%2C_Sep_2%2C_1935.jpg/1280px-Labor_Day_hurricane_weather_analysis_%28Enlarged%29%2C_Sep_2%2C_1935.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL141954,HAZEL,1954,Elite,90,4,132,938,35.91,300,1192,91.5,94.5,96.6,93.4,94.4,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c1/Hurricane_Hazel_weather_map_%28enlarged%29%2C_October_15%2C_1954_%28632228990%29.jpg/1280px-Hurricane_Hazel_weather_map_%28enlarged%29%2C_October_15%2C_1954_%28632228990%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL051960,DONNA,1960,Elite,90,4,144,930,50.84,336,439,95.3,96.8,99.1,96.2,89.6,https://upload.wikimedia.org/wikipedia/commons/b/b8/Hurricane_Donna.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL051964,CLEO,1964,Elite,90,4,150,938,38.22,456,156,96.2,95,97.2,99.3,81.8,https://upload.wikimedia.org/wikipedia/commons/d/d3/Hurricane_Cleo_23_August_1964_TIROS_VIII.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL071998,GEORGES,1998,Elite,90,4,155,937,39.37,306,615,97.6,95.2,97.4,93.6,92.2,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Georges_1998-09-19_1645Z.png/1280px-Georges_1998-09-19_1645Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL092008,IKE,2008,Elite,90,4,144,935,40.14,336,214,94.7,95.7,97.7,95.9,85.3,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/Ike_2008-09-04_1440Z.jpg/1280px-Ike_2008-09-04_1440Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL142024,MILTON,2024,Elite,90,5,178,895,24.14,144,45,99.6,99.8,90.2,65.8,66.2,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/Milton_2024-10-07_1920Z.png/1280px-Milton_2024-10-07_1920Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL081933,Cuba–Brownsville Hurricane,1933,Elite,89,5,161,940,40.23,258,,98.4,93.5,97.8,88,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/da/Cuba%E2%80%93Brownsville_hurricane_weather_map_9-1-1933_%280329721%29.jpg/1280px-Cuba%E2%80%93Brownsville_hurricane_weather_map_9-1-1933_%280329721%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL021955,CONNIE,1955,Elite,89,4,138,944,31.55,276,77,94,92.2,95.4,90.5,74.9,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/Hurricane_Connie_weather_map%2C_August_7%2C_1955.jpg/1280px-Hurricane_Connie_weather_map%2C_August_7%2C_1955.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL031961,CARLA,1961,Elite,89,4,144,927,28.19,300,43,95.1,97.7,93.6,93.2,65.8,https://upload.wikimedia.org/wikipedia/commons/4/4a/Hurricane_Carla_Satellite.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL071963,FLORA,1963,Elite,89,4,150,933,48.25,432,,96.6,96.1,98.9,99,50,https://upload.wikimedia.org/wikipedia/commons/6/63/Flora_radar.gif?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL031965,BETSY,1965,Elite,89,4,138,942,40.49,306,81,93.4,93,97.8,93.7,76.2,https://upload.wikimedia.org/wikipedia/commons/c/c0/Hurricane_Betsy.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL081988,GILBERT,1988,Elite,89,5,184,888,32.76,186,,99.7,99.9,95.8,75.3,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/Gilbert_1988-09-13_2200Z.png/1280px-Gilbert_1988-09-13_2200Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL081999,FLOYD,1999,Elite,89,4,155,921,30.75,270,85,97.5,98.5,95,89.8,76.6,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b0/Floyd_1999-09-13_1215Z.png/1280px-Floyd_1999-09-13_1215Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL062004,FRANCES,2004,Elite,89,4,144,935,46.04,354,50,95.6,95.7,98.8,97.2,68.4,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/Frances_2004-08-31_1755Z.jpg/1280px-Frances_2004-08-31_1755Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL042005,DENNIS,2005,Elite,89,4,150,930,18.76,132,166,96.9,97,85.3,60.5,83.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cd/Dennis_2005-07-10_0410Z.jpg/1280px-Dennis_2005-07-10_0410Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL042007,DEAN,2007,Elite,89,5,173,905,35.23,198,,99.5,99.5,96.4,78,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/Dean_2007-08-21_0845Z.jpg/1280px-Dean_2007-08-21_0845Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL072008,GUSTAV,2008,Elite,89,4,155,941,18.15,186,265,97.6,93.2,84.8,76.2,87,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3d/Gustav_2008-08-30_1603Z.jpg/1280px-Gustav_2008-08-30_1603Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL112010,IGOR,2010,Elite,89,4,155,924,44.8,348,,97.7,98.1,98.6,96.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/Igor_2010-09-13_1640Z.jpg/1280px-Igor_2010-09-13_1640Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL062018,FLORENCE,2018,Elite,89,4,150,937,39.73,366,78,96.3,95.2,97.5,97.6,75.3,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Florence_2018-09-11_1750Z.jpg/1280px-Florence_2018-09-11_1750Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL292020,ETA,2020,Elite,89,4,150,922,18.61,312,189,96.8,98.4,85.2,94.3,84.8,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Eta_2020-11-03_0640Z.jpg/1280px-Eta_2020-11-03_0640Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL092021,IDA,2021,Elite,89,4,150,929,12.44,210,172,97,97.3,76.7,81.3,83.5,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/Ida_2021-08-29_1321Z.jpg/1280px-Ida_2021-08-29_1321Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL182021,SAM,2021,Elite,89,4,155,927,56.82,336,,97.7,97.6,99.4,95.8,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/Sam_2021-09-26_1625Z.jpg/1280px-Sam_2021-09-26_1625Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL072022,FIONA,2022,Elite,89,4,138,931,31.11,306,36,94.5,96.6,95.1,93.9,61.9,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Fiona_2022-09-22_2131Z.jpg/1280px-Fiona_2022-09-22_2131Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL031853,Hurricane Three,1853,Elite,88,4,150,924,45.06,282,,96.7,98.2,98.6,91.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d1/Three_1853_path.png/1280px-Three_1853_path.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL051910,Hurricane Five,1910,Elite,88,4,150,924,30.74,306,,96.2,98.2,94.9,94.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/55/Cuba_hurricane_weather_map%2C_October_16%2C_1910.jpg/1280px-Cuba_hurricane_weather_map%2C_October_16%2C_1910.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL021919,Hurricane Two,1919,Elite,88,4,150,927,44.25,300,,96.4,97.6,98.4,93,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/Florida_Keys_hurricane_weather_map%2C_September_10%2C_1919.jpg/1280px-Florida_Keys_hurricane_weather_map%2C_September_10%2C_1919.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL101926,Hurricane Ten,1926,Elite,88,4,150,934,35.44,318,,97.1,95.8,96.5,94.8,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/Havana%E2%80%93Bermuda_hurricane_%28Hurricane_Ten%29_weather_analysis%2C_October_20%2C_1926.jpg/1280px-Havana%E2%80%93Bermuda_hurricane_%28Hurricane_Ten%29_weather_analysis%2C_October_20%2C_1926.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL021929,Hurricane Two,1929,Elite,88,4,155,924,36.31,312,,97.4,98.1,96.7,94.6,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6a/Bahamas_hurricane_weather_map%2C_September_25%2C_1929_%285602133%29.jpg/1280px-Bahamas_hurricane_weather_map%2C_September_25%2C_1929_%285602133%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL021930,Hurricane Two,1930,Elite,88,4,155,933,29.83,426,,97.3,96.1,94.6,98.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/San_Zen%C3%B3n_hurricane_weather_map%2C_September_3%2C_1930_%28300922158%29.jpg/1280px-San_Zen%C3%B3n_hurricane_weather_map%2C_September_3%2C_1930_%28300922158%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL061951,EASY,1951,Elite,88,4,150,937,36.96,312,,96.6,95.1,96.9,94.5,50,https://upload.wikimedia.org/wikipedia/commons/0/0e/Hurricane_Easy_surface_analysis_September_8_1951.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL041953,CAROL,1953,Elite,88,5,161,929,33.97,222,,98.6,97.2,96.1,82.7,50,https://upload.wikimedia.org/wikipedia/commons/7/7f/Carol_1953-09-07_weather_map.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL101955,JANET,1955,Elite,88,5,173,914,27.74,210,,99.1,99.1,93.3,80.7,50,https://upload.wikimedia.org/wikipedia/commons/f/f9/Hurricane_Janet_analysis_28_Sep_1955.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL131995,LUIS,1995,Elite,88,4,150,935,59.16,354,,96,95.6,99.6,96.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a1/Luis_1995-09-04_1715Z.png/1280px-Luis_1995-09-04_1715Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL051996,EDOUARD,1996,Elite,88,4,144,933,52.62,372,,94.8,96.2,99.4,97.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fb/Edouard_1996-08-25_1415Z.png/1280px-Edouard_1996-08-25_1415Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL091999,GERT,1999,Elite,88,4,150,930,42.67,264,,96.1,96.8,98.3,89.4,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/87/Gert_1999-09-15_1715Z.png/1280px-Gert_1999-09-15_1715Z.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL052005,EMILY,2005,Elite,88,5,161,929,32.87,216,,98.6,97,95.8,82.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/Emily_2005-07-16_1845Z.jpg/1280px-Emily_2005-07-16_1845Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL112015,JOAQUIN,2015,Elite,88,4,155,931,31.95,324,,97.8,96.5,95.6,95.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/Joaquin_2015-10-03_1437Z.png/1280px-Joaquin_2015-10-03_1437Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL122017,JOSE,2017,Elite,88,4,155,938,43.68,426,,97.2,94.7,98.4,98.8,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/Jose_2017-09-08_1745Z.jpg/1280px-Jose_2017-09-08_1745Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL082023,FRANKLIN,2023,Elite,88,4,150,926,33.14,444,,96.1,97.9,95.9,99.2,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/52/Franklin_2023-08-28_2100Z.jpg/1280px-Franklin_2023-08-28_2100Z.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL071878,Hurricane Seven,1878,Elite,87,4,138,938,50.76,354,,94,94.8,99.1,97.1,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/Hurricane_Seven_weather_map%2C_October_6%2C_1878.jpg/1280px-Hurricane_Seven_weather_map%2C_October_6%2C_1878.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL021915,Hurricane Two,1915,Elite,87,4,144,940,38.04,384,,95.1,93.5,97.2,98.3,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/50/1915_Galveston_hurricane_weather_map%2C_August_16%2C_1915_%2820874377%29.jpg/1280px-1915_Galveston_hurricane_weather_map%2C_August_16%2C_1915_%2820874377%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL041917,Hurricane Four,1917,Elite,87,4,150,928,34.99,240,,96.3,97.4,96.4,85.8,50,https://upload.wikimedia.org/wikipedia/commons/0/0e/Hurricane_Four_surface_analysis_25_Sept_1917.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL101924,1924 Cuba Hurricane,1924,Elite,87,5,167,910,25.03,192,,98.9,99.3,90.8,76.5,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/1924_Atlantic_hurricane_season_summary_map.png/1280px-1924_Atlantic_hurricane_season_summary_map.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL071926,Hurricane Seven,1926,Elite,87,4,150,930,40.19,252,,95.8,96.7,97.7,87.7,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/51/Miami_hurricane_weather_map_%28enlarged%29%2C_September_18%2C_1926_%285109773%29.jpg/1280px-Miami_hurricane_weather_map_%28enlarged%29%2C_September_18%2C_1926_%285109773%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL071944,Great Atlantic Hurricane,1944,Elite,87,5,161,918,26.07,174,,98.5,98.8,91.7,73.3,50,https://upload.wikimedia.org/wikipedia/commons/f/f1/1944_Great_Atlantic_hurricane_analysis_13_September.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL041947,Hurricane Four,1947,Elite,87,4,144,938,41.45,372,,94.6,94.4,98.1,98,50,https://upload.wikimedia.org/wikipedia/commons/9/94/Fort_Lauderdale_hurricane_weather_analysis%2C_Sept_17%2C_1947.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL041950,DOG,1950,Elite,87,4,144,953,57.24,438,,95.4,89.1,99.5,99.1,50,https://upload.wikimedia.org/wikipedia/commons/b/b6/Hurricane_Dog_%281950%29.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL041957,CARRIE,1957,Elite,87,4,138,945,59.11,534,,93.6,92,99.6,99.8,50,https://upload.wikimedia.org/wikipedia/commons/1/14/Hurricane_Carrie_surface_analysis_September_14_1957.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL051961,ESTHER,1961,Elite,87,5,161,919,48.71,378,7,98.3,98.6,99,98.1,33.8,https://upload.wikimedia.org/wikipedia/commons/7/75/Hurricane_Esther.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL101989,GABRIELLE,1989,Elite,87,4,144,935,38.24,294,,94.9,95.5,97.3,92,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cc/Gabrielle_1989-09-06_2000Z.png/1280px-Gabrielle_1989-09-06_2000Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL071995,FELIX,1995,Elite,87,4,138,929,31.47,390,,94.4,97.2,95.3,98.5,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/Felix_1995-08-12_1915Z.png/1280px-Felix_1995-08-12_1915Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL081996,HORTENSE,1996,Elite,87,4,138,935,22.26,216,39,94.3,95.5,88.8,81.4,64.1,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/Hortense_1996-09-12_2145Z.png/1280px-Hortense_1996-09-12_2145Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
AL102003,FABIAN,2003,Elite,87,4,144,939,44.6,294,,95.7,93.8,98.5,92.7,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Fabian_2003-09-01_1745Z.png/1280px-Fabian_2003-09-01_1745Z.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
