ID,Storm_Name,Year,Tier,Overall,Category,peak_wind_mph,min_pressure_mb,ace,duration_hours,fatalities,wind_pct,pres_pct,ace_pct,dur_pct,fat_pct,image_url
AL031896,Hurricane Three,1896,Gold,76,2,98,,25.7,252,,71,74.8,91.4,87.5,50,https://upload.wikimedia.org/wikipedia/commons/7/71/1896_Atlantic_hurricane_3_track.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL011897,Hurricane One,1897,Gold,76,2,98,,24.68,252,,70.7,75,90.6,87.3,50,https://upload.wikimedia.org/wikipedia/commons/3/38/1897_Atlantic_hurricane_1_track.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL021916,Hurricane Two,1916,Gold,76,3,121,950,10.68,162,,87.2,89.9,73,70.8,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/Gulf_Coast_hurricane_weather_analysis%2C_July_5%2C_1916.jpg/1280px-Gulf_Coast_hurricane_weather_analysis%2C_July_5%2C_1916.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL141916,Hurricane Fourteen,1916,Gold,76,2,109,970,15.21,168,,80.7,78.8,80.8,71.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/Charleston_hurricane_weather_map%2C_July_13%2C_1916.jpg/1280px-Charleston_hurricane_weather_map%2C_July_13%2C_1916.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL071935,Hurricane Seven,1935,Gold,76,2,104,964,14.62,198,,74.9,82.2,80,78.2,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/Yankee_hurricane_weather_map_11-4-1935_%28700432158%29.jpg/1280px-Yankee_hurricane_weather_map_11-4-1935_%28700432158%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL041940,Hurricane Four,1940,Gold,76,2,109,961,12.1,138,,81.6,84,75.8,63.8,50,https://upload.wikimedia.org/wikipedia/commons/9/9a/1940_New_England_hurricane_analysis_1_Sep_1940.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL101950,JIG,1950,Gold,76,3,115,,13.82,156,,84.3,85.9,78.6,68.4,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/Hurricane_Jig_weather_analysis%2C_October_15%2C_1950.jpg/1280px-Hurricane_Jig_weather_analysis%2C_October_15%2C_1950.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL061952,CHARLIE,1952,Gold,76,3,121,958,14.75,150,,87.9,85.8,80.2,66.7,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/Hurricane_Charlie_weather_map%2C_September_26%2C_1952.jpg/1280px-Hurricane_Charlie_weather_map%2C_September_26%2C_1952.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL071953,EDNA,1953,Gold,76,3,115,962,16.71,162,,85.9,83.6,82.7,71.3,50,https://upload.wikimedia.org/wikipedia/commons/8/88/Edna_1953-09-17_1230Z.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL041955,EDITH,1955,Gold,76,2,98,967,14.4,294,,73,80.6,79.6,92.3,50,https://upload.wikimedia.org/wikipedia/commons/c/c1/Hurricane_Edith_surface_analysis_August_28_1955.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL011963,ARLENE,1963,Gold,76,3,115,969,12.07,258,,84.5,79.7,75.7,88.3,50,https://upload.wikimedia.org/wikipedia/commons/8/83/Sat19630810arlene.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
